"module name","licenses","repository","licenseUrl","parents"
"babel-loader@6.4.1","MIT","https://github.com/babel/babel-loader","https://github.com/babel/babel-loader/raw/master/LICENSE","UNDEFINED"
"babel-messages@6.23.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-messages","https://github.com/babel/babel/tree/master/packages/babel-messages","UNDEFINED"
"babel-plugin-check-es2015-constants@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-check-es2015-constants","https://github.com/babel/babel/tree/master/packages/babel-plugin-check-es2015-constants","UNDEFINED"
"babel-plugin-syntax-async-functions@6.13.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-async-functions","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-async-functions","UNDEFINED"
"babel-plugin-syntax-async-generators@6.13.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-async-generators","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-async-generators","UNDEFINED"
"babel-plugin-syntax-class-constructor-call@6.18.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-class-constructor-call","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-class-constructor-call","UNDEFINED"
"babel-plugin-syntax-class-properties@6.13.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-class-properties","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-class-properties","UNDEFINED"
"babel-plugin-syntax-decorators@6.13.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-decorators","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-decorators","UNDEFINED"
"babel-plugin-syntax-do-expressions@6.13.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-do-expressions","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-do-expressions","UNDEFINED"
"babel-plugin-syntax-dynamic-import@6.18.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-dynamic-import","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-dynamic-import","UNDEFINED"
"babel-plugin-syntax-exponentiation-operator@6.13.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-exponentation-operator","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-exponentation-operator","UNDEFINED"
"babel-plugin-syntax-export-extensions@6.13.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-export-extensions","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-export-extensions","UNDEFINED"
"babel-plugin-syntax-function-bind@6.13.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-function-bind","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-function-bind","UNDEFINED"
"babel-plugin-syntax-object-rest-spread@6.13.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-object-rest-spread","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-object-rest-spread","UNDEFINED"
"babel-plugin-syntax-trailing-function-commas@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-trailing-function-commas","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-trailing-function-commas","UNDEFINED"
"babel-plugin-transform-async-generator-functions@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-async-generator-functions","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-async-generator-functions","UNDEFINED"
"babel-plugin-transform-async-to-generator@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-async-to-generator","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-async-to-generator","UNDEFINED"
"babel-plugin-transform-class-constructor-call@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-class-constructor-call","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-class-constructor-call","UNDEFINED"
"babel-plugin-transform-class-properties@6.23.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-class-properties","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-class-properties","UNDEFINED"
"babel-plugin-transform-decorators@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-decorators","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-decorators","UNDEFINED"
"babel-plugin-transform-do-expressions@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-do-expressions","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-do-expressions","UNDEFINED"
"babel-plugin-transform-es2015-arrow-functions@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-arrow-functions","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-arrow-functions","UNDEFINED"
"babel-plugin-transform-es2015-block-scoped-functions@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-block-scoped-functions","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-block-scoped-functions","UNDEFINED"
"babel-plugin-transform-es2015-block-scoping@6.23.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-block-scoping","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-block-scoping","UNDEFINED"
"babel-plugin-transform-es2015-classes@6.23.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-classes","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-classes","UNDEFINED"
"babel-plugin-transform-es2015-computed-properties@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-computed-properties","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-computed-properties","UNDEFINED"
"babel-plugin-transform-es2015-destructuring@6.23.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-destructuring","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-destructuring","UNDEFINED"
"babel-plugin-transform-es2015-duplicate-keys@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-duplicate-keys","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-duplicate-keys","UNDEFINED"
"babel-plugin-transform-es2015-for-of@6.23.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-for-of","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-for-of","UNDEFINED"
"babel-plugin-transform-es2015-function-name@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-function-name","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-function-name","UNDEFINED"
"babel-plugin-transform-es2015-literals@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-literals","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-literals","UNDEFINED"
"babel-plugin-transform-es2015-modules-amd@6.24.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-modules-amd","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-modules-amd","UNDEFINED"
"babel-plugin-transform-es2015-modules-commonjs@6.24.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-modules-commonjs","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-modules-commonjs","UNDEFINED"
"babel-plugin-transform-es2015-modules-systemjs@6.23.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-modules-systemjs","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-modules-systemjs","UNDEFINED"
"babel-plugin-transform-es2015-modules-umd@6.24.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-modules-umd","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-modules-umd","UNDEFINED"
"babel-plugin-transform-es2015-object-super@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-object-super","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-object-super","UNDEFINED"
"babel-plugin-transform-es2015-parameters@6.23.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-parameters","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-parameters","UNDEFINED"
"babel-plugin-transform-es2015-shorthand-properties@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-shorthand-properties","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-shorthand-properties","UNDEFINED"
"babel-plugin-transform-es2015-spread@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-spread","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-spread","UNDEFINED"
"babel-plugin-transform-es2015-sticky-regex@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-sticky-regex","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-sticky-regex","UNDEFINED"
"babel-plugin-transform-es2015-template-literals@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-template-literals","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-template-literals","UNDEFINED"
"babel-plugin-transform-es2015-typeof-symbol@6.23.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-typeof-symbol","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-typeof-symbol","UNDEFINED"
